evaluable_ca,frame_evaluable,frame_has_inversion,frame_index,inverted_ca,path,side,system
26,True,False,26,0,bba_duet_seed211_p1,raw,bba
26,True,False,27,0,bba_duet_seed211_p1,raw,bba
26,True,False,28,0,bba_duet_seed211_p1,raw,bba
26,True,False,29,0,bba_duet_seed211_p1,raw,bba
26,True,False,30,0,bba_duet_seed211_p1,raw,bba
26,True,False,31,0,bba_duet_seed211_p1,raw,bba
26,True,False,32,0,bba_duet_seed211_p1,raw,bba
26,True,True,0,10,bba_duet_seed211_p1,relaxed,bba
26,True,True,1,5,bba_duet_seed211_p1,relaxed,bba
26,True,True,2,4,bba_duet_seed211_p1,relaxed,bba
22,True,True,3,5,bba_duet_seed211_p1,relaxed,bba
26,True,True,4,6,bba_duet_seed211_p1,relaxed,bba
26,True,True,5,7,bba_duet_seed211_p1,relaxed,bba
26,True,True,6,5,bba_duet_seed211_p1,relaxed,bba
26,True,True,7,7,bba_duet_seed211_p1,relaxed,bba
26,True,True,8,4,bba_duet_seed211_p1,relaxed,bba
26,True,True,9,4,bba_duet_seed211_p1,relaxed,bba
26,True,True,10,6,bba_duet_seed211_p1,relaxed,bba
26,True,True,11,3,bba_duet_seed211_p1,relaxed,bba
24,True,True,12,3,bba_duet_seed211_p1,relaxed,bba
26,True,True,13,7,bba_duet_seed211_p1,relaxed,bba
26,True,True,14,6,bba_duet_seed211_p1,relaxed,bba
26,True,True,15,6,bba_duet_seed211_p1,relaxed,bba
26,True,True,16,4,bba_duet_seed211_p1,relaxed,bba
26,True,True,17,5,bba_duet_seed211_p1,relaxed,bba
26,True,True,18,3,bba_duet_seed211_p1,relaxed,bba
26,True,True,19,1,bba_duet_seed211_p1,relaxed,bba
22,True,False,20,0,bba_duet_seed211_p1,relaxed,bba
26,True,True,21,5,bba_duet_seed211_p1,relaxed,bba
23,True,True,22,2,bba_duet_seed211_p1,relaxed,bba
26,True,True,23,2,bba_duet_seed211_p1,relaxed,bba
26,True,True,24,1,bba_duet_seed211_p1,relaxed,bba
26,True,True,25,6,bba_duet_seed211_p1,relaxed,bba
26,True,True,26,4,bba_duet_seed211_p1,relaxed,bba
26,True,True,27,6,bba_duet_seed211_p1,relaxed,bba
26,True,True,28,5,bba_duet_seed211_p1,relaxed,bba
26,True,True,29,4,bba_duet_seed211_p1,relaxed,bba
26,True,True,30,6,bba_duet_seed211_p1,relaxed,bba
26,True,True,31,11,bba_duet_seed211_p1,relaxed,bba
26,True,True,32,2,bba_duet_seed211_p1,relaxed,bba
295,True,False,0,0,prmt6_official_forward_p3,raw,prmt6
295,True,False,1,0,prmt6_official_forward_p3,raw,prmt6
295,True,False,2,0,prmt6_official_forward_p3,raw,prmt6
295,True,False,3,0,prmt6_official_forward_p3,raw,prmt6
295,True,False,4,0,prmt6_official_forward_p3,raw,prmt6
295,True,False,0,0,prmt6_official_forward_p3,relaxed,prmt6
295,True,True,1,20,prmt6_official_forward_p3,relaxed,prmt6
294,True,True,2,15,prmt6_official_forward_p3,relaxed,prmt6
295,True,True,3,24,prmt6_official_forward_p3,relaxed,prmt6
295,True,True,4,22,prmt6_official_forward_p3,relaxed,prmt6
295,True,False,0,0,prmt6_official_forward_p2,raw,prmt6
295,True,False,1,0,prmt6_official_forward_p2,raw,prmt6
295,True,False,2,0,prmt6_official_forward_p2,raw,prmt6
295,True,False,3,0,prmt6_official_forward_p2,raw,prmt6
295,True,False,4,0,prmt6_official_forward_p2,raw,prmt6
295,True,False,0,0,prmt6_official_forward_p2,relaxed,prmt6
295,True,True,1,12,prmt6_official_forward_p2,relaxed,prmt6
295,True,True,2,24,prmt6_official_forward_p2,relaxed,prmt6
295,True,True,3,15,prmt6_official_forward_p2,relaxed,prmt6
295,True,True,4,26,prmt6_official_forward_p2,relaxed,prmt6
295,True,False,0,0,prmt6_current_custom_sde_p3,raw,prmt6
295,True,False,1,0,prmt6_current_custom_sde_p3,raw,prmt6
295,True,False,2,0,prmt6_current_custom_sde_p3,raw,prmt6
295,True,False,3,0,prmt6_current_custom_sde_p3,raw,prmt6
295,True,False,4,0,prmt6_current_custom_sde_p3,raw,prmt6
295,True,False,0,0,prmt6_current_custom_sde_p3,relaxed,prmt6
295,True,False,1,0,prmt6_current_custom_sde_p3,relaxed,prmt6
295,True,True,2,19,prmt6_current_custom_sde_p3,relaxed,prmt6
